River,Year,Month,Day,Time_arrival,Time_departure,Airtemp_arrival,Airtemp_min,Airtemp_max,Cloud_cover_pcent ,Precipitation,Wind,Water_level,Discharge_m3_sec,Water_temperature_shore,VEMCO,RPM_arrival,RPM_departure,Operating_condition,Crew,Comments
Kedgwick,2003,5,28,9:05,11:15,17,2,21,20,no precip,calm,10,,10,10.3,5.04,5.04,"operating fully, little debris in box, cleaned drum with brush to increase rpms and reduce current in box",ivan leopold paul,
Kedgwick,2003,5,29,9:00,11:30,13,4.4,24,100,light rain,calm,10,,11,9.9,5,7.32,"operating fully, little debris in box ",ivan leopold paul,
Kedgwick,2003,5,30,8:00,10:30,10,3.3,11.1,100,showers,calm,10,,10,9.1,7.5,7.5,"operating fully, little debris in box ",ivan leopold ,
Kedgwick,2003,5,31,9:20,10:40,7,5.5,10.5,100,no precip,calm,10,,10,9.4,7.5,7.5,"operating fully, little debris in box ",paul leopold ,
Kedgwick,2003,6,1,9:00,10:45,15.5,4.4,15.5,100,no precip,calm,9,,10,9.8,7.5,7.5,"operating fully, little debris in box ",ivan leopold ,
Kedgwick,2003,6,2,9:00,10:50,11,4.4,10,100,no precip,strong NE,10,,10,10,7.5,7.5,"operating fully, little debris in box ",ivan leopold harley paul,
Kedgwick,2003,6,3,9:10,10:45,9,0,12.5,90,no precip,strong NE,9,,10,9.4,8,8,"operating fully, little debris in box ",ivan leopold harley,
Kedgwick,2003,6,4,9:15,10:30,9,0,15.5,0,no precip,light NE,6,,8,9,7,7,"operating fully, little debris in box ",ivan leopold harley,
Kedgwick,2003,6,5,9:13,10:10,15,0,20.5,0,no precip,calm,4,,10,11.1,7,7,"operating fully, little debris in box ",ivan leopold harley,
Kedgwick,2003,6,6,9:05,10:30,14,3.3,11.6,100,rain,calm,3,,12,12.4,7,7,"operating fully, little debris in box drum cleaned",ivan leopold harley,
Kedgwick,2003,6,7,8:50,10:20,7,-1.6,16.6,20,no precip,calm,5,,11,11.9,7,7,"operating fully, little debris in box ",ivan leopold harley,
Kedgwick,2003,6,8,9:15,10:20,12,1.1,13.8,90,no precip,calm,1,,12,11.8,7,7,"operating fully, little debris in box ",ivan leopold harley,
Kedgwick,2003,6,9,9:15,10:15,15.5,3.3,15.5,100,no precip,calm,0,,12,11,7,7,"operating fully, little debris in box drum cleaned",ivan leopold harley,
Kedgwick,2003,6,10,9:21,10:40,13,4.4,11.1,100,heavy showers,Slight NE,0,,11,11.7,7,7,"operating fully, little debris in box ",ivan leopold harley,
Kedgwick,2003,6,11,9:22,10:15,13,0,17.2,20,no precip,calm,0,,12,11,7,7,"operating fully, little debris in box ",ivan leopold harley,
Kedgwick,2003,6,12,9:20,10:05,14,0,13.3,20,no precip heavy rain last night,calm,3,,10,11.2,7,7,"operating fully, little debris in box cleaned drum",ivan leopold harley paul,
Kedgwick,2003,6,13,9:05,10:10,19,-0.5,18.3,0,no precip,calm,1.5,,11,12.5,7,7,"operating fully, little debris in box ",ivan leopold harley,
Kedgwick,2003,6,14,9:05,9:30,20,2.2,12.2,100,no precip,calm,0,,12,11.7,7,7,Wheel jammed with an 8 foot piece of pulp,ivan leopold harley,"Wheel not turning, jammed with a piece of pulp, sign untied on bridge no damage to wheel"
Kedgwick,2003,6,15,9:15,10:00,11,4.4,10,100,steady rain,calm,0,,10,10.3,7,7,"operating fully, little debris in box ",ivan leopold harley,
Kedgwick,2003,6,16,9:00,10:25,10,1.6,14.4,50,no precip,calm,1,,10,11.2,7,7,"operating fully, little debris in box, larger stick in drum",ivan leopold harley,
Kedgwick,2003,6,17,9:13,10:30,16,1.1,18.8,10,no precip,calm,0,,12,13.1,7,7,"operating fully, little debris in box, ",ivan leopold harley,
Kedgwick,2003,6,18,9:12,9:45,19,3.3,17.7,20,no precip,calm,0,,13,14.7,6.75,6.75,"operating fully, little debris in box, ",ivan leopold harley,
Kedgwick,2003,6,19,9:20,10:30,19,4.4,15.5,100,no precip,slight SE,0,,15,15.3,6.5,6.5,"operating fully, little debris in box, ",ivan leopold harley,
Kedgwick,2004,5,6,13:00,18:00,10,,,0,0,calm,87,,6,4.9,0,9,operating fully,Ivan Paul Mike Andrew and others,Installed wheel in river all went well and it was fishing by 1500h
Kedgwick,2004,5,7,9:00,10:00,9,3.5,9,100,0,calm,72.5,,5,4.929166667,9,9,operating fully (lots of small debris),Ivan Mike Andrew ,First  official smolt wheel check of 2004
Kedgwick,2004,5,8,9:00,10:30,3,0,4.5,0,0,Brisk NW,56,,4,4.229166667,8,8,operating fully (little small debris),Ivan Mike Andrew ,"Very windy, First smolts of year!!!!"
Kedgwick,2004,5,9,9:30,13:00,4,-1,18,0,0,Brisk NW,41,,4,4.877083333,0,9,"Not operating, Wheel jammed with a 30 foot log  ",Ivan Mike Andrew ,After clearing log RPM at 9(water dropping and channel becoming more concentrated on true left bank) 
Kedgwick,2004,5,10,9:08,10:10,5,-3,3.5,0,0,calm,33,,5,5.664583333,9,9,operating fully (little small debris),Ivan  Andrew Leopold,No comments
Kedgwick,2004,5,11,8:10,9:30,8,2,10,100,light showers,calm,27,,7,7.19375,8,8,operating fully (very little debris),"Ivan, Mike, Andrew",Moved bridge cable out 1 foot
Kedgwick,2004,5,12,9:10,11:00,6,0,7,100,0,calm(increasing),22,,6,5.860416667,8,8,operating fully (very little debris),"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,5,13,9:12,10:25,5,0,9,100,0,calm,16,,5,4.585416667,8,8,operating fully (very little debris),"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,5,14,9:11,10:45,7,4.5,9,100,showers/light rain,slight,14,,5.5,5.122916667,7.5,8,operating fully (moved wheel out 1 section),"Ivan, Andrew, Leopold",Removed fine debris on wheel drum -moved wheel
Kedgwick,2004,5,15,9:08,10:30,16,3.5,15.5,20,0,slight,12,,7,7.408333333,8,8,operating fully (very little debris),"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,5,16,9:06,11:15,10,0,28,40,0,Brisk NW,9,,8.5,8.929166667,8,8,operating fully (very little debris),"Ivan, Andrew, Leopold",Minimum/Maximum temperature taken at 16:00h
Kedgwick,2004,5,17,9:13,11:10,10,-2,10,80,0,calm,6,,9,9.054166667,7.5,7.5,operating fully (very little fine debris),"Ivan, Andrew, Leopold, Paul",No comments
Kedgwick,2004,5,18,9:20,12:00,13,0,9,100,0,calm(increasing),3,,9.5,8.61875,7.5,7.5,operating fully (very little fine debris),"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,5,19,9:05,11:45,13,1,9,0,0,calm,25,,9.5,8.49375,0,8.5,"Not operating, Wheel jammed with 4 foot log","Ivan, Andrew, Leopold",After clearing log RPM at 8.5(Water came up 22cm from yesterday)
Kedgwick,2004,5,20,9:15,14:45,9,-2,6,0,0,calm,29,,9.5,8.225,8.25,8.25,operating fully (Lots of small debris),"Ivan, Andrew, Leopold",Largest Smolt catch of the year so far with 475 smolts caught in wheel
Kedgwick,2004,5,21,8:15,10:30,12,2,9,100,light showers,calm,23,,9,9.260416667,8,8,operating fully (little debris) ,"Ivan, Andrew, Leopold",River water very dirty/turbid(water clarity next to none)
Kedgwick,2004,5,22,9:10,11:15,8.5,-3,6.5,0,0,calm,19,,8,8.433333333,8,8,operating fully (very little debris),"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,5,23,9:10,10:50,8,-2,7.5,100,0,calm,15,,8,7.847916667,8,8,operating fully (very little debris),"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,5,24,9:20,11:00,12,-3,7.5,20,0,calm,12,,8,7.69375,8,8,operating fully (very little debris),"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,5,25,9:30,10:45,8,3.5,9.5,100,0,calm,7,,8,8.160416667,7.5,7.5,operating fully (very little debris),"Ivan, Andrew, Leopold",River clearing up significantly
Kedgwick,2004,5,26,9:20,15:20,8,0,9,100,0,calm,5,,8,7.6375,7.5,7.5,operating fully (very little debris),"Ivan, Andrew, Leopold, ASF crew(3), Quebec crew(2)",ASF installed tracking pingers in 50 smolts over 13 cm from Kedgwick 1 mile wheel
Kedgwick,2004,5,27,9:10,11:40,9,4.5,10,100,0,calm,4,,8,7.539583333,7.5,7.5,operating fully,"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,5,28,9:30,11:30,8,3.5,12.5,90,0,calm,2,,10,8.954166667,7.5,7.5,operating fully,"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,5,29,9:30,11:30,6,3.5,8.5,100,showers(rain overnight),slight(increasing),1,,9,8.247916667,7.25,7.25,operating fully,"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,5,30,9:10,10:45,7,3.5,9,90,0,Brisk NW,0,,7.5,6.983333333,7.5,7.5,operating fully,"Ivan, Andrew, Leopold",Light snow flurries in morning
Kedgwick,2004,5,31,9:15,10:30,10,1,11.5,0,0,calm,0,,8,8.183333333,7.25,7.25,operating fully(drum dirty),"Ivan, Andrew, Leopold",Cleaned drum
Kedgwick,2004,6,1,9:15,11:10,13,-1,9,80,0,calm,0,,9,8.745833333,7,7,operating fully,"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,6,2,9:30,10:45,10,4,9.5,100,showers,calm,0,,9,8.341666667,7,7,operating fully,"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,6,3,9:25,10:40,9.5,5,10.5,100,showers/drizzle,calm,0,,8.5,7.745833333,7,7,operating fully,"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,6,4,9:10,10:45,16,3.5,11,40,0,calm(increasing NW),0,,8.5,8.21875,7.25,7.25,operating fully,"Ivan, Andrew, Leopold",rain over last 2 days
Kedgwick,2004,6,5,9:14,10:40,12,-0.5,8,0,0,calm,14,,8,9.475,7.25,7.25,operating fully,"Ivan, Andrew, Leopold",Water level gauge reset to 14 cm
Kedgwick,2004,6,6,9:00,11:30,14,0,9,5,0,calm,12.5,,10.5,11.65,7,7,operating fully,"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,6,7,9:15,11:10,12,2,8.5,90,0,calm,10,,12,11.46666667,7,7,operating fully,"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,6,8,9:00,10:50,16,4.5,11,10,0,calm,9.5,,10.5,10.19583333,7,7,operating fully,"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,6,9,9:00,10:55,20,9,14.5,25,0,calm,10.5,,11,12.01041667,7,7,operating fully,"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,6,10,9:00,10:40,10.5,-0.5,10,0,0,Brisk NW,11,,12,12.73125,7,7,operating fully,"Ivan, Andrew, Leopold",ASF installed tracking pingers in 16 more smolts over 13 cm from Kedgwick 1 mile wheel.
Kedgwick,2004,6,11,9:10,10:35,9,-0.5,12.5,30,0,Brisk NW,8.5,,11.5,10.76666667,6.75,6.75,operating fully,"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,6,12,9:00,10:30,13,1,15.5,20,0,calm,6,,10,11.36041667,6.25,6.25,operating fully ,"Ivan, Leopold",No comments
Kedgwick,2004,6,13,9:05,10:35,16,1,20,15,0,calm,5,,12,12.44375,6,6,operating fully,"Ivan, Leopold",No comments
Kedgwick,2004,6,14,9:10,10:15,16,0.5,10.5,85,0,calm,3,,12,12.23541667,6,6,operating fully,"Ivan, Andrew, Leopold",No comments
Kedgwick,2004,6,15,9:00,10:30,18,8,13.5,100,0,calm,2,,12,12.20208333,5.75,6.5,operating fully,"Ivan, Andrew, Leopold",Cleaned drum
Kedgwick,2004,6,16,9:20,10:50,15,3,10.5,10,0,slight NW,2,,12.5,11.76666667,6.75,6.75,operating fully,"Ivan, Andrew, Leopold","Smolt wheel pulled for season, Vemco removed at 11:10 am"
Kedgwick,2005,5,19,9:03,10:40,6,5,12,100,0,Calm,72,,6,5.6,8.5,8.5,operating fully,"Ivan, Marc",
Kedgwick,2005,5,20,9:30,10:35,6,7,11,100,Rain,Calm,68,,6,5.9,8.5,8.5,operating fully,"Ivan, Marc",
Kedgwick,2005,5,21,9:05,10:30,7,8,15,100,Drizzle,Calm,64,,6,5.4,8.5,8.5,operating fully,"Ivan, Marc",
Kedgwick,2005,5,22,9:00,10:40,7,5,14,100,0,Slight NE,59,,6,5.2,8.5,8.5,operating fully,"Ivan, Marc",
Kedgwick,2005,5,23,9:10,10:30,8,4,12,100,0,Slight NE,57,,6,5.7,8.25,8.25,operating fully,"Ivan, Marc",
Kedgwick,2005,5,24,9:15,10:30,8.5,3,14,20,0,Calm,53,,6.5,7.1,8.25,8.25,operating fully,"Ivan, Marc",
Kedgwick,2005,5,25,9:30,11:15,8,2,20,10,0,Calm,49.5,,8,8.4,8,8,operating fully,"Ivan, Marc, Paul Leblanc (DFO Halifax)",
Kedgwick,2005,5,26,9:15,12:00,9,1,15,85,0,Calm,44,,8.5,7.9,8,8,operating fully,"Ivan, Marc",
Kedgwick,2005,5,27,9:10,11:50,8.5,6,16,100,Drizzle,Calm,40,,8.5,7.3,7.75,7.75,operating fully,"Ivan, Marc",
Kedgwick,2005,5,28,9:00,11:45,10,5,17,100,Rain,Calm,36.5,,8,7.3,7.5,7.75,operating fully,"Ivan, Marc","Cleaned drum of debris and algae, RPM increased and Water level in box dropped "
Kedgwick,2005,5,29,10:30,12:35,10,7,16,100,Rain,Calm,33,,8,8,7.75,7.5,operating fully,"Ivan, Marc",
Kedgwick,2005,5,30,9:10,11:20,12,8,17,90,Drizzle,Calm,29,,9.5,9,7.75,7.75,operating fully,"Ivan, Marc",
Kedgwick,2005,5,31,9:15,12:20,12,7,19,10,0,Calm,24.5,,9.5,9.9,7.75,7.75,operating fully,"Ivan, Marc",
Kedgwick,2005,6,1,9:20,12:50,14,8,24,0,0,Calm,21,,11,11.7,7.75,7.75,operating fully,"Ivan, Marc",
Kedgwick,2005,6,2,9:30,13:40,15,9,25,10,0,Calm,17,,12,12.7,7.75,7.75,operating fully,"Ivan, Marc",
Kedgwick,2005,6,3,11:15,13:45,20,14,27,20,0,Varible wind gusts,13,,14,13.8,7.5,7.5,operating fully,"Ivan, Marc",
Kedgwick,2005,6,4,9:05,11:45,15,10,28,10,0,Calm,11,,14,14,7.5,7.5,operating fully,"Ivan, Marc",
Kedgwick,2005,6,5,9:10,11:30,16,6,26,10,0,Slight NE,9,,13,13.9,7.5,7.5,"operating fully, Cleaned Drum","Ivan, Marc","Cleaned drum of debris and algae, no change in RPM "
Kedgwick,2005,6,6,9:20,11:10,9,6,22,100,Rain,Calm,6,,12,11.3,7.5,7.5,"operating fully, Cleaned Drum","Ivan, Marc",
Kedgwick,2005,6,7,9:10,11:05,12,10,14,100,Showers,Slight SW,6.5,,9,9.6,7.5,7.5,"operating fully,","Ivan, Marc",
Kedgwick,2005,6,8,9:10,11:00,11,9,17,90,0,Calm,4,,11,11.9,7.5,7.5,"operating fully,","Ivan, Marc",
Kedgwick,2005,6,9,9:10,11:10,12,2,20,30,0,Calm,2,,12,12.6,7.5,7.5,"operating fully,","Ivan, Marc",
Kedgwick,2005,6,10,9:10,10:50,17,12,18,20,0,Calm,0,,13,14.4,7,7,"operating fully,","Ivan, Marc",
Kedgwick,2005,6,11,9:05,10:45,17,15,27,10,0,Calm,0,,15,16.5,7,7,"operating fully,","Ivan, Marc",
Kedgwick,2005,6,12,9:15,10:30,17,15,24,100,0,Calm,0,,16,16.3,7,7,"operating fully,","Ivan, Marc",
Kedgwick,2005,6,13,9:20,10:15,16,15,22,10,0,Calm,0,,16,14.9,6.75,6.75,"operating fully,","Ivan, Marc",
Kedgwick,2005,6,14,9:05,10:10,15,8,16,20,0,Calm,0,,12,12,6.75,7,"operating fully,","Ivan, Marc",Cleaned Drum
Kedgwick,2005,6,15,9:30,10:15,12,8.5,10,0,0,Calm,0,,11,10.7,7,7,"operating fully,","Ivan, Marc",Last Check. Smolt Wheel Removed from River
Kedgwick,2006,5,9,9:30,10:30,7.5,-2,,0,0,Calm,67,,6,6.1,9,9,Fully,Andrew Marc Ivan,"First Smolt Wheel Check, small amount of debris"
Kedgwick,2006,5,10,9:30,11:10,8,0,,100,Light showers,Calm,57,,7,6.7,9,9,Fully,Andrew Marc Ivan,"Debris drum starting and stopping through rotation, small amount of debris"
Kedgwick,2006,5,11,9:17,10:50,8,5,,100,Light showers,Calm,52,,7,6.6,9,9,Fully,Andrew Marc Ivan,No comments
Kedgwick,2006,5,12,9:15,11:10,8,2,,100,0,Calm,48,,7,7.2,8.5,8.5,Cleaner not working,Andrew Marc Ivan,"Debris drum(cleaner) not functioning on arrival.  Lifted wheel and brought to shore.  Took gear box apart, re-tightened nuts etc.  Cleaner and wheel up and fishing @ 12 pm."
Kedgwick,2006,5,13,9:06,10:25,10,-1,,0,0,Calm,42,,7,7.8,9,9,Fully,Andrew Marc Ivan,Drum operating 100% and wheel further out
Kedgwick,2006,5,14,9:07,11:00,12,-1.5,,0,0,Calm,36,,8,9,9,9,Fully,Andrew Marc Ivan,No comments
Kedgwick,2006,5,15,9:11,11:10,11,-0.5,,0,0,Calm,31,,9,9.8,8.5,8.5,Fully,Andrew Marc Ivan,Water dropping fast 
Kedgwick,2006,5,16,9:10,11:15,13,0,,30,0,Calm,25,,10,9.7,8.5,8.5,Fully,Andrew Marc Ivan Paul,Little to no debris
Kedgwick,2006,5,17,9:10,10:55,10,4,,100,Light showers,Calm,30,,10,8.9,8.25,8.75,Fully,Andrew Marc Ivan ,Cleaned smolt wheel 
Kedgwick,2006,5,18,9:18,11:30,8,4,,100,Showers/rain,Calm,35,,8,7.5,9,9,Fully,Andrew Marc Ivan,Good amount of little debris in box
Kedgwick,2006,5,19,9:16,10:45,8,5,,100,0,Calm,30,,8,6.9,8.5,8.5,Fully,Andrew Marc Ivan,Small amount of debris
Kedgwick,2006,5,20,9:15,10:45,10,5.5,,90,0,Light NW,41,,8.5,7.7,8.25,8.25,Fully,Andrew Marc Ivan,No debris
Kedgwick,2006,5,21,9:15,11:15,10,5.5,,100,Light showers,Calm,57,,8,7.6,8,9,"Small tree in wheel, still functioning",Andrew Marc Ivan,Cleaned smolt wheel 
Kedgwick,2006,5,22,9:10,10:40,9,5.5,,100,Showers/rain,Calm,54,,8,7.6,9,9,Fully,Andrew Marc Ivan ,No comments
Kedgwick,2006,5,23,9:11,10:55,10,3.5,,90,0,Light NE,48,,8,7.4,8.75,9,Fully,Andrew Marc Ivan,"Cleaned smolt wheel/pontoons, Six smolts held over night for ASF research"
Kedgwick,2006,5,24,9:05,11:30,10,2.5,,90,0,Light NE,42,,8,7.5,8.75,8.75,Fully,Andrew Marc Ivan CBC ASF,Three smolts used for ASF research
Kedgwick,2006,5,25,9:10,10:50,12,0.5,,10,0,Calm,35,,8,7.8,8.5,8.5,Fully,Andrew Marc Ivan,Six smolts held over night for ASF research
Kedgwick,2006,5,26,9:05,10:45,12,2.5,,70,0,Calm,29,,8.5,7.9,8.5,8.5,Fully,Andrew Marc Ivan ASF,Eleven smolts used for ASF research
Kedgwick,2006,5,27,9:10,10:30,12,7,,80,0,Calm,26,,9,9.7,8.25,8.25,Fully,Andrew Marc Ivan,No comments
Kedgwick,2006,5,28,9:10,10:35,15,1,,0,0,Calm,22,,10,10.7,7.75,8.5,Fully,Andrew Marc Ivan,"Canoe paddle in wheel(Arpin), Cleaned smolt wheel "
Kedgwick,2006,5,29,9:05,10:45,13,4,,80,Light showers,Calm,15,,10.5,11.2,8.25,8.25,Fully,Andrew Marc Ivan,Fifteen smolts held over night for ASF research
Kedgwick,2006,5,30,8:05,9:20,10,0,,10,0,Calm,10,,11,11.2,8,8,Fully,Andrew Marc Ivan ASF,Eleven smolts used for ASF research
Kedgwick,2006,5,31,9:05,10:25,12,2,,80,0,Calm,5,,11,11,8,8,Fully,Andrew Marc Ivan,"Nine smolts held until Friday June 2nd for ASF research, cleaned smolt wheel"
Kedgwick,2006,6,1,9:15,10:30,16,7,,50,0,Calm,4,,13,13.3,8,8,Fully,Andrew Marc Ivan,Seven smolts held over night for ASF research
Kedgwick,2006,6,2,9:10,10:30,16,1,,15,0,Calm,2,,12,12.9,8,8,Fully,Andrew Marc Ivan ASF,Three smolts used for ASF research
Kedgwick,2006,6,3,9:20,10:25,13,2.5,,60,0,Calm,0,,12,11.9,8,8,Fully,Andrew Marc Ivan,"Water level gauge dry, moved out to new reading of 25 cm"
Kedgwick,2006,6,4,9:10,10:00,12.5,3.5,,80,0,Calm,22,,11,11,8,8.5,Fully,Andrew Marc Ivan,Cleaned smolt wheel
Kedgwick,2006,6,5,10:00,11:05,19.5,4,,0,0,Calm,18,,11,12,8,8,Fully,Andrew Marc Ivan,No comments
Kedgwick,2006,6,6,9:10,10:25,16,3.5,,80,0,Light SE,16,,13,13.2,8,8,Fully,Andrew Marc Ivan,No comments
Kedgwick,2006,6,7,9:15,10:20,18,4,,10,0,Calm,14,,13.5,14.6,7.75,7.75,Fully,Andrew Marc Ivan,No comments
Kedgwick,2006,6,8,9:25,10:10,14,4,,100,            Rain,Calm,12,,14.5,14.3,7.75,7.75,Fully,Andrew Marc Ivan,Piece of sheet metal at base of wheel coming loose(tire track)
Kedgwick,2006,6,9,9:20,10:05,11.5,5.5,,100,            Rain,Calm,11,,12,12.1,7.75,7.75,Fully,Andrew Marc Ivan,Steady rain throughout morning/placed several screws threw sheet metal and into wheel itself to keep in place
Kedgwick,2006,6,10,9:15,10:00,14.5,5.5,,100,0,Calm,10,,12,11.9,7.75,7.75,Fully,Andrew Marc Ivan,Cleaned smolt wheel
Kedgwick,2006,6,11,9:20,10:25,14,6.5,,100,0,Calm,11,,12.5,12.7,7.75,7.75,Fully,Andrew Marc Ivan,No comments
Kedgwick,2006,6,12,9:15,10:20,16,6.5,,100,0,Light SE,15,,13,12.4,8,0,Fully,Andrew Marc Ivan,Last smolt wheel check/Vemco removed at 9:30 am
Kedgwick,2007,5,8,9:17,12:06,9,,,90,0,Calm,81,,6,5.5,9,10,Cleaner not working,Ivan Andrew Danny,"First Smolt Wheel Check, Large amount of fine debris.  Cleaner not functioning on arrival, Put teflon tape on set screws of cleaner.  Fully operational on departure.(12:06pm).  *Smolt wheel not functioning @ 3pm, as large tree branch lodged in front section.  Wheel not turning and pontoons partially submerged in water.  Fully operational @ 4:30pm same day!"
Kedgwick,2007,5,9,9:15,17:30,,,,0,,,,,,4.7,,,Not functioning,Ivan Andrew Danny,"Bridge cable snapped overnight, about three feet from right side(Looking upriver).  Wheel was jammed with five foot log and ended up by 1 mile brook, held only by the ""safety"" Tail cable.  Remaining cable from bridge was tangled in a large poplar tree on far left side.  Water level had risen over a foot in the past 24 hours due to warm temperatures melting up river snow/ice."
Kedgwick,2007,5,17,9:15,11:00,5,,,100,Flurries,Calm,81,,5,5,8.75,8.75,Fully,Ivan Andrew Danny,New cable attached to bridge and Smolt Wheel now operating again!
Kedgwick,2007,5,18,9:18,11:05,6,,,50,0,Calm,76,,5,4.9,8.5,8.5,Fully,Ivan Andrew Danny,Attached five newly painted buoys to bridge cable.
Kedgwick,2007,5,19,9:15,11:00,7.5,,,100,light,Calm,67.5,,6,5.8,8.5,8.5,Fully,Ivan Andrew Danny,No comments
Kedgwick,2007,5,20,9:16,11:05,9,,,100,light,Calm,63,,7,6.5,8.25,8.25,Fully,Ivan Andrew Danny,No comments
Kedgwick,2007,5,21,9:15,11:35,6,,,30,0,Calm,71,,6,5.9,8.25,8.25,Fully,Ivan Andrew Danny,No comments
Kedgwick,2007,5,22,9:16,12:15,7,,,0,0,Calm,70,,5.5,6.2,8,8,Fully,Ivan Andrew Danny,Cleaned smolt wheel
Kedgwick,2007,5,23,9:11,11:54,7,,,5,0,Calm,66,,6.5,7,8.25,8.25,Fully,Ivan Andrew Danny,No comments
Kedgwick,2007,5,24,9:20,12:15,12,,,80,Light showers,Calm,62,,7.5,8.6,8.25,8.25,Fully,Ivan Andrew Danny,No comments
Kedgwick,2007,5,25,9:15,16:45,17,,,5,0,Calm,60,,11,12.1,8.25,8.25,Fully,Ivan Andrew Danny,Fifty one smolts held over night for ASF research.  * Water temperature fourteen degrees @ 15:30.
Kedgwick,2007,5,26,9:40,18:20,13,,,20,0,Calm,57,,12,12.9,8,8,Fully,Ivan Andrew Danny,1567 smolts in last two days!
Kedgwick,2007,5,27,9:10,13:45,10,,,30,0,Light East,54,,10.5,11.6,7.75,7.75,Fully,Ivan Andrew Danny,Cleaned smolt wheel
Kedgwick,2007,5,28,9:13,12:15,12,,,100,light,Calm,53,,11,10.9,8,8.25,Fully,Ivan Andrew Danny,Small amount of debris
Kedgwick,2007,5,29,9:18,11:45,12,,,100,light,Calm,54,,10,10.3,8.25,8.25,Fully,Ivan Andrew Danny,No comments
Kedgwick,2007,5,30,9:15,11:35,10,,,80,0,Calm,52,,9,8.8,8.25,8.25,Fully,Ivan Andrew Danny,Cleaned smolt wheel
Kedgwick,2007,5,31,9:10,11:10,10,,,30,0,Calm,48,,8,9.4,8.25,8.25,Fully,Ivan Andrew Danny,No comments
Kedgwick,2007,6,1,9:10,11:00,13,,,5,0,Calm,45,,10,11.1,8,8,Fully,Ivan Andrew Danny,No comments
Kedgwick,2007,6,2,9:15,11:00,10,,,0,0,Calm,42,,10.5,11.6,8,8,Fully,Ivan Andrew Danny,No comments
Kedgwick,2007,6,3,9:12,10:45,11,,,5,0,Calm,39,,10.5,11.8,7.75,7.75,Fully,Ivan Andrew Danny,No comments
Kedgwick,2007,6,4,9:08,10:45,15,,,30,0,Calm,36,,12,11.3,7.5,7.5,Fully,Ivan Andrew Danny,Cleaned smolt wheel
Kedgwick,2007,6,5,9:08,10:40,12,,,100,Rain,Calm,39,,10,10.5,8,8,Fully,Ivan Andrew Danny,No comments
Kedgwick,2007,6,6,9:20,10:30,15,,,100,Light showers,Calm,60,,12,11.7,8,8,Fully,Ivan Andrew Danny,Major thunder storm upriver brought Ked. up 21 cm over night.
Kedgwick,2007,6,7,9:10,12:30,10,,,10,0,Moderate North East,66,,9.5,10.5,7,7.5,Cleaner not working,Ivan Andrew Danny,"Cleaner not functioning on arrival, debris built up on drum and a few sticks were stuck in wheel.  Water was overflowing holding box!  Put teflon tape on set screws of cleaner.  Cleaned and reset smolt wheel.  Fully operational by 12:15 pm."
Kedgwick,2007,6,8,9:10,10:40,12,,,10,0,Calm,59,,9.5,10.7,7.5,8,Cleaner not working,Ivan Andrew Danny,Cleaner not working on arrival or departure!(Proper tools to fix wheel unavailable).  Cleaned smolt wheel.
Kedgwick,2007,6,9,9:05,11:35,15,,,90,0,Calm,54,,11,11,7.75,8.5,Cleaner not working,Ivan Andrew Danny,"Cleaner not working on arrival.  Holding box was NOT overflowing with water!, however was full of fine debris.  Brought wheel to shore and replaced both set screws with longer ones.  Put teflon tape on one of the screws and reset smolt wheel.  Wheel/Cleaner fully operational by 11:20 am."
Kedgwick,2007,6,10,9:03,10:10,17,,,90,0,Calm,51,,10,11.4,8.5,8.5,Fully,Ivan Andrew Danny,No comments
Kedgwick,2007,6,11,9:10,10:00,18,,,0,0,Calm,49,,13,14,8.5,8.5,Fully,Ivan Andrew Danny,No comments
Kedgwick,2007,6,12,9:16,10:30,17,,,30,0,Calm,43,,14,18.2,8.25,0,Fully,Ivan Andrew Danny,Last smolt wheel check/Vemco removed at 10:40 am
Kedgwick,2008,5,14,10:07,12:10,10,,,0,0,Calm,78,,6,6.8,10,10,Fully,Ivan Andrew Danny,"First official smolt wheel check of 2008, Large amount of fine debris."
Kedgwick,2008,5,15,9:15,10:50,8.5,,,30,0,Calm,76,,7,7.2,10,10,Fully,Ivan Andrew Danny,Large amount of fine debris.
Kedgwick,2008,5,16,9:10,10:40,12,,,80,0,Calm,69,,7.5,7.5,10,10,Fully,Ivan Andrew Danny,Medium amount of fine debris.
