FEATUREID, USERNAME, FEATURETYPE, FEATURESEQ, XP, YP, LABEL, POLYGONID, FEATURECLASS, FOREIGN_SYS, FOREIGN_KEY, METADATA, HREF, START_DATE, END_DATE, START_SEASON, END_SEASON, CREATION_DATE, DISPLAY_SCALE_MIN, DISPLAY_SCALE_MAX, UUSER, UDATE
CAZSS, anon,4,1,-64.435387,45.0837912, Minas Basin,1, PORT, NA, NA, NA, NA, NA, NA, NA, NA, 2004-01-01, NA, NA, NA, NA
CAZSS, anon,4,2,-63.8641408,45.0837912, Minas Basin,1, PORT, NA, NA, NA, NA, NA, NA, NA, NA, 2004-01-01, NA, NA, NA, NA
CAZSS, anon,4,3,-63.8641408,45.4300839, Minas Basin,1, PORT, NA, NA, NA, NA, NA, NA, NA, NA, 2004-01-01, NA, NA, NA, NA
CAZSS, anon,4,4,-64.435387,45.4300839, Minas Basin,1, PORT, NA, NA, NA, NA, NA, NA, NA, NA, 2004-01-01, NA, NA, NA, NA
