FEATUREID, USERNAME, FEATURETYPE, FEATURESEQ, XP, YP, LABEL, POLYGONID, FEATURECLASS, FOREIGN_SYS, FOREIGN_KEY, METADATA, HREF, START_DATE, END_DATE, START_SEASON, END_SEASON, CREATION_DATE, DISPLAY_SCALE_MIN, DISPLAY_SCALE_MAX, UUSER, UDATE
DBBWP, anon,4,1,-69.186746,44.1908655, New Brunswick,1, PORT, NA, NA, NA, NA, NA, NA, NA, NA, 2004-01-01, NA, NA, NA, NA
DBBWP, anon,4,2,-63.4218125,44.1908655, New Brunswick,1, PORT, NA, NA, NA, NA, NA, NA, NA, NA, 2004-01-01, NA, NA, NA, NA
DBBWP, anon,4,3,-63.4218125,49.5838722, New Brunswick,1, PORT, NA, NA, NA, NA, NA, NA, NA, NA, 2004-01-01, NA, NA, NA, NA
DBBWP, anon,4,4,-69.186746,49.5838722, New Brunswick,1, PORT, NA, NA, NA, NA, NA, NA, NA, NA, 2004-01-01, NA, NA, NA, NA
