FEATUREID, USERNAME, FEATURETYPE, FEATURESEQ, XP, YP, LABEL, POLYGONID, FEATURECLASS, FOREIGN_SYS, FOREIGN_KEY, METADATA, HREF, START_DATE, END_DATE, START_SEASON, END_SEASON, CREATION_DATE, DISPLAY_SCALE_MIN, DISPLAY_SCALE_MAX, UUSER, UDATE
, , , 1, -53.249, 47.594, NA, 1, NFLD, NA, NA, NA, NA, 2002-01-01, 2002-12-31, NA, NA, 2006-05-19, NA, NA, NA, NA
, , , 2, -48.124, 47.594, NA, 1, NFLD, NA, NA, NA, NA, 2002-01-01, 2002-12-31, NA, NA, 2006-05-19, NA, NA, NA, NA
, , , 3, -48.124, 48.364, NA, 1, NFLD, NA, NA, NA, NA, 2002-01-01, 2002-12-31, NA, NA, 2006-05-19, NA, NA, NA, NA
, , , 4, -53.249, 48.364, NA, 1, NFLD, NA, NA, NA, NA, 2002-01-01, 2002-12-31, NA, NA, 2006-05-19, NA, NA, NA, NA
