FEATUREID, USERNAME, FEATURETYPE, FEATURESEQ, XP, YP, LABEL, POLYGONID, FEATURECLASS, FOREIGN_SYS, FOREIGN_KEY, METADATA, HREF, START_DATE, END_DATE, START_SEASON, END_SEASON, CREATION_DATE, DISPLAY_SCALE_MIN, DISPLAY_SCALE_MAX, UUSER, UDATE
NAABK, anon,4,1,-140.02,79.98, Arctic Ocean,1, PORT, NA, NA, NA, NA, NA, NA, NA, NA, 2004-01-01, NA, NA, NA, NA
NAABK, anon,4,2,-139.98,79.98, Arctic Ocean,1, PORT, NA, NA, NA, NA, NA, NA, NA, NA, 2004-01-01, NA, NA, NA, NA
NAABK, anon,4,3,-139.98,80.02, Arctic Ocean,1, PORT, NA, NA, NA, NA, NA, NA, NA, NA, 2004-01-01, NA, NA, NA, NA
NAABK, anon,4,4,-140.02,80.02, Arctic Ocean,1, PORT, NA, NA, NA, NA, NA, NA, NA, NA, 2004-01-01, NA, NA, NA, NA
