FEATUREID, USERNAME, FEATURETYPE, FEATURESEQ, XP, YP, LABEL, POLYGONID, FEATURECLASS, FOREIGN_SYS, FOREIGN_KEY, METADATA, HREF, START_DATE, END_DATE, START_SEASON, END_SEASON, CREATION_DATE, DISPLAY_SCALE_MIN, DISPLAY_SCALE_MAX, UUSER, UDATE
OABML, anon,4,1,-91.1553614,60.8180786, Baffin Island,1, PORT, NA, NA, NA, NA, NA, NA, NA, NA, 2004-01-01, NA, NA, NA, NA
OABML, anon,4,2,-60.6670651,60.8180786, Baffin Island,1, PORT, NA, NA, NA, NA, NA, NA, NA, NA, 2004-01-01, NA, NA, NA, NA
OABML, anon,4,3,-60.6670651,75.7504295, Baffin Island,1, PORT, NA, NA, NA, NA, NA, NA, NA, NA, 2004-01-01, NA, NA, NA, NA
OABML, anon,4,4,-91.1553614,75.7504295, Baffin Island,1, PORT, NA, NA, NA, NA, NA, NA, NA, NA, 2004-01-01, NA, NA, NA, NA
