Id,UniqueID,Item Name,Description,Owner,Size (if applicable),Container space available (if applicable),Category,Type
148,Sponges1,Scrub Sponge,Dish scrub sponges,Marine Mammals,small,,Necropsy,Consumable
149,SprayBottle1,Spray Bottle,Spray Bottle,Marine Mammals,,,Necropsy,Durable
150,Stakes1,Stakes,Wooden perimeter stakes,Marine Mammals,,,Necropsy,Consumable
151,StationarySupplies1,Assorted Stationary supplies,"Assortment of pencils, small rulers, whiteboard markers, scissors, tweezers",Marine Mammals,,,Necropsy,Consumable
152,SteelWire1,Steel wire,16 gauge steel wire,Marine Mammals,,,Survey Gear,Consumable
153,SunscreenCream1,Suncreen Cream,Sunscreen cream,Marine Mammals,,,Necropsy,Consumable
154,SunscreenSpray1,Sunscreen spray,Sunscreen spray,Marine Mammals,,,Necropsy,Consumable
155,Switlik1,Life Vest,Switlik Life Vest with EBS,Marine Mammals,,,Survey Gear,Durable
156,Table1,Table,Fold out plastic table,Marine Mammals,,,Necropsy,Durable
157,TapeMeasure1,Tape Measure,Tape measure,Marine Mammals,,,Necropsy,Durable
158,Tarp1,Tarp,Blue tarp 5x7,Marine Mammals,small,,Necropsy,Consumable
159,Tarp2,Tarp,Assorted tarps,Marine Mammals,large,,Necropsy,Durable
160,Tarp3,Tarp,Silver tarp 12x16,Marine Mammals,medium,,Necropsy,Durable
161,TarpBin1,Blue rubbermaid,Blue rubbermaid with tarps,Marine Mammals,large,0,Necropsy,Durable
162,TemperatureLogger1,Temperature Logger,Star Oddi Temperature Logger,Marine Mammals,,,Survey Gear,Durable
163,TemperatureLoggerCase1,Temperature Logger Case,Temperature Logger Case,Marine Mammals,small,,Survey Gear,Durable
164,Tent1,Tent,10x10 ft gazebo tent,Marine Mammals,,,Necropsy,Durable
165,TinFoil1,Tin Foil,box of tin foil,Marine Mammals,,,Necropsy,Consumable
166,ToiletPaper1,Toilet paper,Toilet paper rolls,Marine Mammals,,,Necropsy,Consumable
167,ToolBox1,Tool Box,Portable Milwaukee Tool box,Marine Mammals,,,Necropsy,Durable
168,TowStrap1,Tow strap,Yellow tow straps,Marine Mammals,,,Necropsy,Durable
169,TowStrapBin1,Blue rubbermaid,Blue rubbermaid with tow straps,Marine Mammals,small,5,Necropsy,Durable
170,Tweezers1,Tweezers,Tweezers,Marine Mammals,large,,Necropsy,Durable
171,Tyvek1,Tyvek,Tyvek Coverall,Marine Mammals,small,,Necropsy,Consumable
172,Tyvek2,Tyvek,Tyvek Coverall,Marine Mammals,M,,Necropsy,Consumable
173,Tyvek3,Tyvek,Tyvek Coverall,Marine Mammals,L,,Necropsy,Consumable
174,Tyvek4,Tyvek,Tyvek Coverall,Marine Mammals,XL,,Necropsy,Consumable
175,Tyvek5,Tyvek,Tyvek Coverall,Marine Mammals,XXL,,Necropsy,Consumable
176,Tyvek6,Tyvek,Tyvek Coverall,Marine Mammals,4XL,,Necropsy,Consumable
177,Tyvek7,Tyvek,"Tyvek Coverall - singles, random suppliers",Marine Mammals,,,Necropsy,Consumable
178,TyvekSleeves1,Tyvek,Tyvek Sleeves,Marine Mammals,,,Necropsy,Consumable
179,Umbrella1,Umbrella,Umbrella,Marine Mammals,Large,,Necropsy,Durable
180,VapoRub1,VapoRub,Vicks Vaporub,Marine Mammals,,,Necropsy,Consumable
181,VoiceRecorder1,Voice Recorder,Sony Digital Voice Recorder,Marine Mammals,,,Survey Gear,Durable
182,Wagon1,Wagon,Canvas wagon,Marine Mammals,,,Necropsy,Durable
183,WD40Spray1,WD 40 Spray,WD 40 Spray,Marine Mammals,,,Survey Gear,Consumable
184,WhaleIDGuide1,Whale ID guide,Bilingual waterproof whale ID guides,Marine Mammals,,,Survey Gear,Consumable
185,Whiteboard1,Portable Whiteboard,Portable whiteboard,Marine Mammals,Small,,Necropsy,Durable
186,Whiteboard2,Portable Whiteboard,Portable whiteboard,Marine Mammals,Medium,,Necropsy,Durable
187,Wipes1,Wipes,Fast Orange wipes,Marine Mammals,small,,Necropsy,Consumable
188,Wipes2,Wipes,Big wipes industrial,Marine Mammals,large,,Necropsy,Consumable
189,Wipes3,Wipes,Gojo natural orange hand wipes,Marine Mammals,,,Necropsy,Consumable
190,Wipes4,Wipes,Lysol disinfectant wipes,Marine Mammals,,,Necropsy,Consumable
191,Wipes4,Wipes,Lysol disinfectant wipes,Marine Mammals,,,Necropsy,Consumable
192,WirelessMouse1,Wireless mouse,Wireless mouse,Marine Mammals,,,Survey Gear,Durable
193,WoodBlock1,Block of Wood,Block of Wood,Marine Mammals,small,,Necropsy,Consumable
194,Ziploc4,Ziploc bags,Ziploc freezer bags,Marine Mammals,Large,,Necropsy,Consumable
195,Ziplocs1,Ziploc bags,Ziploc bags,Marine Mammals,XL,,Necropsy,Consumable
196,Ziplocs2,Ziploc bags,Ziploc sandwhich bags,Marine Mammals,,,Necropsy,Consumable
197,Ziplocs3,Ziploc bags,Ziploc freezer bags,Marine Mammals,medium,,Necropsy,Consumable
198,MicroSD512GB,MicroSD Card,512GB Samsung Evo MicroSD card - for use with Sound Traps,Marine Mammals,,,Survey Gear,Durable
199,MicroSD256GB,MicroSD Card,256GB Samsung Evo MicroSD card - for use with Sound Traps,Marine Mammals,,,Survey Gear,Durable
200,ExtraRope1,Blue rubbermaid,Blue rubbermaid with rope,Marine Mammals,large,0,Survey Gear,Durable
201,BraidedRope1,Braided Rope,Misc Braided Rope,Marine Mammals,,,Survey Gear,Durable
202,DataSafe1,Data Safe,Sentry Safe Fire Safe for hard drive storage,Marine Mammals,large,100,Office Supplies,Durable
203,SoundTrap1,Sound Trap,SoundTrap ST500 STD - Long Term Recorder,Marine Mammals,,,Survey Gear,Durable
204,SoundTrapPRV1,Sound Trap PRV,Prevco Dual Seal Pressure Release Valve Titanium 10psi P/N 01104-001,Marine Mammals,,,Survey Gear,Durable
