"VESSEL_CODE"	"NAME"	"VESSEL_ID"
"#2B 1030"	"#2B 1030"	
"#32016"	"#32016"	
"#33642"	"#33642"	
"'TI GERRY"	"'TI GERRY"	
"( NO NAME )  ?"	"( NO NAME )  ?"	
"150386"	"MARSHA DAWN"	"150386"
"150388"	"ANNICK C 11"	"150388"
"150389"	"G.E.M."	"150389"
"150390"	"JUDY & BOYS"	"150390"
"150391"	"KEN & RAN"	"150391"
"150393"	"SASSY LADY"	"150393"
"150394"	"CATHY LYNN NO I"	"150394"
"150395"	"DIANNE SHELLEY"	"150395"
"150396"	"3B667"	"150396"
"150399"	"AMANDA ANN"	"150399"
"150400"	"EMMA DAWN"	"150400"
"150401"		"150401"
"150402"	"DUSTIN CRAIG"	"150402"
"150404"	"GULF PRIDE NO I"	"150404"
"150405"	"GYPSY MOTH 11"	"150405"
"150406"	"LINDA DENIS"	"150406"
"150407"	"MID MORN. BREEZE"	"150407"
"150408"	"BECKY LYNN II"	"150408"
"150409"	"YVON KEVIN"	"150409"
"150410"	"DAWN & SHERRY"	"150410"
"150411"	"KEN'S LAST"	"150411"
