EMM_MAKE,EMM_MODEL,ECP_CHANNEL_NO,EQA_ADC_BITS,ECP_VOLTAGE_RANGE_MIN,ECP_VOLTAGE_RANGE_MAX,ECP_GAIN
AURAL,M2,1,16,,,
JASCO,AMAR G3A-AL-2X,1,24,,,
JASCO,AMAR G3A-AL-2X,9,16,0,4.5,
JASCO,AMAR G3A-AL-4X,1,24,,,
JASCO,AMAR G3A-AL-4X,9,16,0,4.5,
JASCO,AMAR G3-PVC-2X,1,24,,,
JASCO,AMAR G3-PVC-2X,9,16,0,4.5,
JASCO,AMAR G4A-AL-6.5,1,24,0,5,
JASCO,AMAR G4A-AL-6.5,9,16,0,5,
JASCO,AMAR G4-PVC-2X-6.5,1,24,0,5,
JASCO,AMAR G4-PVC-2X-6.5,9,16,0,5,
JASCO,AMAR UD-G4,1,24,0,5,
JASCO,AMAR UD-G4,9,16,0,5,
