unique_id,item_name,description,owner,size,container_space,category,type
RainPants2,Rain pants,Yellow cheap rain pants,Marine Mammals,M,,Necropsy,Consumable
RainPants3,Rain pants,Yellow cheap rain pants,Marine Mammals,L,,Necropsy,Consumable
RainPants4,Rain pants,Yellow cheap rain pants,Marine Mammals,XL,,Necropsy,Consumable
OrangeRopeBin1,Blue rubbermaid,Blue rubbermaid with rope,Marine Mammals,large,0,Necropsy,Durable
Respirator1,Respirator,Particulate Respirator face shield,Marine Mammals,,,Necropsy,Consumable
Rope1,Braided rope,All purpose braided rope,Marine Mammals,,,Necropsy,Consumable
RuggedHardDrive1TB,Portable Hard Drive,1TB Rugged hard drive,Marine Mammals,,,Office Supplies,Consumable
Ruler1,Ruler,"12"" rulers",Marine Mammals,,,Necropsy,Durable
SafetyGlasses1,Safety Glasses,Safety Glasses,Marine Mammals,,,Necropsy,Consumable
SafetySupplies1,Black crate,Black crate no wheels filled with supplies,Marine Mammals,large,5,Necropsy,Durable
SamplesBags1,Sample bags,Plastic sample bags,Marine Mammals,small,,Necropsy,Consumable
SamplesJars1,Sample jars,Plastic sample jars with lids,Marine Mammals,Medium,,Necropsy,Consumable
SamplingSupplies1,Clear rubbermaid,Clear rubbermaid container filled with supplies,Marine Mammals,medium,15,Necropsy,Durable
SanitationWear1,Black crate,Black crate with wheels filled with gloves and tyveks,Marine Mammals,XXL,50,Necropsy,Durable
Scissors1,Scissors,Kitchen scissors,Marine Mammals,,,Necropsy,Durable
Scissors2,Scissors,Disecting scissors,Marine Mammals,large,,Necropsy,Durable
ShipSurveyKit1,Ship Survey Kit,Hard black case filled with ship survey,Marine Mammals,large,,Survey Gear,Durable
ShopTowel1,Shop towels,Blue heavy duty shop towels,Marine Mammals,,,Necropsy,Consumable
Shovel1,Shovel,Heavy duty metal shovel,Marine Mammals,,,Necropsy,Durable
Signs1,Signs,Bilingual federal worksite signs,Marine Mammals,,,Necropsy,Consumable
Sponges1,Scrub Sponge,Dish scrub sponges,Marine Mammals,small,,Necropsy,Consumable
