"id","name","abbrev_name","nom","abbrev_nom"
1,Fisheries and Oceans Canada,DFO,Pêches et Océans Canada,MPO
2,Transport Canada,TC,Transport Canada,TC
3,"National Oceanic and Atmospheric Administration
",NOAA,"National Oceanic and Atmospheric Administration
",NOAA
4,PAL Airlines,PAL,PAL Airlines,PAL
5,Canadian Coast Guard,CCG,Garde côtière canadienne ,GCC
