"id","make_model","name","observation_platform_type_id","longname","authority_id","owner_id"
4,De Havilland Canada Dash 7,CGCFR,1,Transport Canada Dash 7 - CGCFR,2,2
5,De Havilland Canada Dash 8,CGCFJ,1,Transport Canada Dash 8 - CGCFJ,2,2
6,STX Europe A S Build No. 13,CCGS-Teleost,2,CCGS Teleost,1,5
